employer,emp_count,median_salary,mean_salary,total_payroll
National Capital Children’S Oncology Care Inc.(O/A Ronald Mcdonald House-Ottawa),2,136250.0,136250.0,272500.0
National Electrical Trade Council,3,150016.0,163781.0,491343.0
Native Child And Family Services Of Toronto,39,121387.82,127967.98102564101,4990751.26
Native Women’s Resource Centre Of Toronto,1,124999.8,124999.8,124999.8
Natural Resources and Forestry,1164,115836.485,119631.3985652921,139250947.93
Nawiinginokiima Forest Management Corporation,3,122100.0,128714.33333333333,386143.0
Ne Chee Friendship Centre,1,128205.89,128205.89,128205.89
Near North District School Board,629,132450.72,129397.30694753576,81390906.07
Neighbourhood Group Community Services,19,125340.04,135579.87157894738,2576017.56
Nelson House Of Ottawa-Carleton,1,111184.23,111184.23,111184.23
Neshama Hospice,1,120192.25,120192.25,120192.25
Neskantaga First Nation,2,119868.32500000001,119868.32500000001,239736.65000000002
New Beginnings (Essex County),1,113772.0,113772.0,113772.0
New Leaf Living and Learning Together Inc,5,124990.41,125070.74399999999,625353.72
New Path Youth and Family Counselling Services Of Simcoe County,5,112361.26,129010.41799999999,645052.09
New Visions Toronto,1,143156.74,143156.74,143156.74
Newcomer Women’s Services Toronto,1,131460.64,131460.64,131460.64
Nia Centre For The Arts,1,105000.0,105000.0,105000.0
Niagara Catholic District School Board,1219,119772.15,125157.13292863002,152566545.04
Niagara Children’s Centre,9,117046.27,133113.05333333334,1198017.48
Niagara Children’s Centre School Authority,5,133107.28,134282.038,671410.19
Niagara College Of Applied Arts and Technology,442,126688.9,128321.50785067872,56718106.47
Niagara Escarpment Commission,7,117552.27,118776.74285714285,831437.2
Niagara Falls Community Health Centre Inc,8,146633.115,166819.55875,1334556.47
Niagara Health System,1509,115046.94,121813.11399602387,183815989.02
Niagara Ina Grafton Gage Village,3,110802.07,115651.36333333334,346954.09
Niagara Parks Commission,74,120971.445,127026.29716216217,9399945.99
Niagara Support Services,5,100460.4,114602.08,573010.4
Niagara Transit Commission,61,111473.51,116790.82639344262,7124240.41
Nibinamik First Nation,3,109139.06,111694.35333333333,335083.06
Nickel District Conservation Authority,1,112600.0,112600.0,112600.0
Nigerian Canadians For Cultural Educational And Economic Progress,1,154401.98,154401.98,154401.98
Niijaansinaanik Child And Family Services,17,114544.94,118580.6588235294,2015871.2
Niiwin Wendaanimok Limited Partnership,1,109113.11,109113.11,109113.11
Nipigon District Memorial Hospital,22,124505.015,127979.78363636365,2815555.24
Nipissing First Nation,2,101422.45,101422.45,202844.9
Nipissing University,165,149979.44,148424.1335151515,24489982.03
Nipissing-Parry Sound Catholic District School Board,195,132950.19,132975.51646153847,25930225.71
Nisbet Lodge,3,116654.76,126389.22000000002,379167.66000000003
Nishnawbe Aski Police Services,134,148766.27500000002,153781.1945522388,20606680.07
Nishnawbe-Aski Legal Services Corporation,4,127442.32,128636.91,514547.64
Nog-da-win-da-min Family And Community Services,44,124189.22,122388.31977272728,5385086.07
Nokiiwin Tribal Council Inc,1,120863.94,120863.94,120863.94
Noojmowin Teg Health Centre,4,133585.425,133747.1975,534988.79
Norfolk County,114,110652.185,118888.80657894736,13553323.95
Norfolk Family Health Team,11,171468.0,159132.0,1750452.0
Norfolk General Hospital,98,119071.705,126666.13948979591,12413281.67
Norfolk Hospital Nursing Home,6,127018.58499999999,126345.95666666667,758075.74
North Bay Jack Garland Airport Corporation,1,125223.54,125223.54,125223.54
North Bay Parry Sound District Health Unit,24,123546.60999999999,132175.35624999998,3172208.55
North Bay Regional Health Centre,565,114881.15,123578.3643539823,69821775.86
North Centennial Manor Inc,5,121754.32,122539.58399999999,612697.9199999999
North Cochrane Addiction Services Inc,1,110945.59,110945.59,110945.59
North Eastern Ontario Family And Children’s Services,35,121995.4,129090.99885714285,4518184.96
North Lambton Community Health Centre,15,149252.35,172410.27333333335,2586154.1
North Of Superior Healthcare Group,27,119589.36,123155.82851851852,3325207.37
North Of Superior Programs,1,111511.9,111511.9,111511.9
North Renfrew Long-Term Care Services Inc,2,124081.23000000001,124081.23000000001,248162.46000000002
North Shore Health Network,43,132904.99,131655.98534883722,5661207.37
North Simcoe Muskoka Hospice Palliative Care Network,2,121737.5,121737.5,243475.0
North Spirit Lake First Nation,1,120200.0,120200.0,120200.0
North Wellington Health Care Corp,39,113012.77,120081.78,4683189.42
North York General Hospital,898,116887.36499999999,126395.91208240534,113503529.05
North York Seniors Centre,1,124157.71,124157.71,124157.71
North York Women’s Resource Centre,1,100469.26,100469.26,100469.26
North York Women’s Shelter Inc,1,135000.06,135000.06,135000.06
Northeastern Catholic District School Board,153,131484.17,131494.81039215685,20118705.99
Northern College Of Applied Arts and Technology,96,126689.04,128580.48489583335,12343726.55
Northern Development,84,114049.81,123698.26892857143,10390654.59
Northern Linkage Community Housing & Support Service,1,180711.46,180711.46,180711.46
Northern Ontario Heritage Fund Corporation,12,117575.42,122600.415,1471204.98
Northern Ontario Regional Tourism Organization (RTO) 13,3,101207.81,107922.67,323768.01
Northern Ontario School Of Medicine,95,129919.56,149445.73,14197344.35
Northumberland Hills Hospital,203,116588.31,120982.80142857143,24559508.69
Northwest Catholic District School Board,89,131582.28,129345.9411235955,11511788.76
Northwestern Ontario Innovation Centre Inc,1,143700.0,143700.0,143700.0
Northwestern Ontario Metis Child & Family Services,2,130796.875,130796.875,261593.75
Norwest Community Health Centre,17,129911.06,163130.81058823527,2773223.78
Nucleus Independent Living,2,155382.4,155382.4,310764.8
Nurturing Behaviours Inc,1,124000.0,124000.0,124000.0
ORNGE,323,142811.74,148238.1576780186,47880924.93
Oak Valley Health,661,115004.32,122567.54254160365,81017145.62
Oakville Senior Citizens Residence,4,114264.33,125797.2,503188.8
Oasis Addiction Recovery Society,2,102202.09,102202.09,204404.18
Occupational Health Clinics For Ontario Workers Inc,32,113365.95,123761.5784375,3960370.51
Office Of The Auditor General,87,150225.36,158004.3455172414,13746378.06
Office Of The Chief Electoral Officer,62,128332.17,140369.02516129034,8702879.56
Office Of The Premier,47,149486.74,156300.10212765957,7346104.8
Office of the Employer Adviser,17,116840.71,122044.46058823529,2074755.83
Office of the Fairness Commissioner,4,133420.345,141102.91999999998,564411.6799999999
Office of the Worker Adviser,32,115494.145,118246.4340625,3783885.89
Olde Forge Community Resource Centre,1,107851.53,107851.53,107851.53
Older Adult Centres Association Of Ontario (OACAO),1,111411.48,111411.48,111411.48
Ombudsman Ontario,74,119237.65,134578.85864864863,9958835.54
One Care Home And Community Support Services,4,135413.34000000003,146577.58000000002,586310.3200000001
One Kids Place Children’s Medical Treatment Centre Of North East Ontario,3,121431.44,149247.88,447743.64
Ongwanada Hospital,13,111698.77,120807.91923076923,1570502.95
Ontario 211 Services Corporation,2,131693.09,131693.09,263386.18
Ontario AIDS Network,1,127704.76,127704.76,127704.76
Ontario Aboriginal HIV/AIDS Strategy,1,108457.0,108457.0,108457.0
Ontario Aboriginal Housing Support Services Corporation,8,133783.035,146847.14375,1174777.15
Ontario Agency For Health Protection And Promotion,345,118925.88,130988.96298550724,45191192.23
Ontario Agri-food Education Inc,1,104999.96,104999.96,104999.96
Ontario Artistic Swimming,1,110000.0,110000.0,110000.0
Ontario Arts Council,19,127812.66,126739.09315789473,2408042.77
Ontario Association For Family Mediation,1,103999.0,103999.0,103999.0
Ontario Association Of Adult And Continuing Education School Board Administrators (CESBA),1,110000.0,110000.0,110000.0
Ontario Association Of Chiefs Of Police (OACP),2,118772.28,118772.28,237544.56
Ontario Association Of Children’s Aid Societies (OACAS),25,117351.04,128404.72799999999,3210118.1999999997
Ontario Association Of Police Services Boards,1,184125.0,184125.0,184125.0
Ontario Association Of Residents’ Councils,1,128000.16,128000.16,128000.16
Ontario Association Of Veterinary Technicians (OAVT),2,122221.25,122221.25,244442.5
Ontario Association Of Youth Employment Centres,1,110250.0,110250.0,110250.0
Ontario Bioscience Innovation Organization,7,150000.0,156551.92857142858,1095863.5
Ontario Brain Injury Association,1,169328.86,169328.86,169328.86
Ontario Brain Institute,12,149812.5,173745.89666666667,2084950.76
Ontario Building Officials Association,2,153667.47999999998,153667.47999999998,307334.95999999996
Ontario Cannabis Retail Corporation,158,131002.14499999999,144313.32639240506,22801505.57
Ontario Caregiver Organization,5,143689.74,146666.13,733330.65
Ontario Catholic School Trustees’ Association,6,151529.0,159863.66666666666,959182.0
Ontario Centre of Innovation,31,134739.85,151328.06806451615,4691170.11
Ontario Clean Water Agency,366,114757.91500000001,121413.93390710383,44437499.81
Ontario College Of Art And Design University,220,120460.62,127792.44913636363,28114338.81
Ontario College Of Family Physicians,8,150506.51,151424.04625,1211392.37
Ontario Colleges Library Service (OCLS),3,126884.3,148832.36000000002,446497.08
Ontario Council On Articulation And Transfer (ONCAT),6,133277.775,143622.95333333334,861737.72
Ontario Court Of Justice,656,176513.74,251909.86974085367,165252874.55
Ontario Cultural Attractions Fund,1,150000.0,150000.0,150000.0
Ontario Cycling Association Inc,2,124105.0,124105.0,248210.0
Ontario Disability Employment Network,1,117768.91,117768.91,117768.91
Ontario Educational Communications Authority (TV Ontario),70,113380.545,131506.3254285714,9205442.78
Ontario Energy Board,181,148169.09,155321.55441988952,28113201.35
Ontario Farm Products Marketing Commission,1,119835.28,119835.28,119835.28
Ontario Federation Of Indigenous Friendship Centres (OFIFC),14,127053.985,135780.325,1900924.55
Ontario Federation Of School Athletic Associations,1,122638.8,122638.8,122638.8
Ontario Financing Authority,130,129101.43,149360.29346153844,19416838.15
Ontario Finnish Resthome Association,6,109515.45999999999,111925.125,671550.75
Ontario Food Terminal Board,4,146851.64,157052.3275,628209.31
Ontario General Contractors Association (Ogca),1,129777.26,129777.26,129777.26
Ontario Genomics Institute,8,151940.345,171216.45,1369731.6
Ontario Good Roads Association,10,146383.06,154044.787,1540447.87
Ontario HIV Treatment Network,8,114059.97,142975.9,1143807.2
Ontario Health,1436,117708.48000000001,127826.32235376045,183558598.9
Ontario Health atHome,2311,106988.75,114016.10975335352,263491229.64
Ontario Heritage Trust,24,111334.025,122403.92416666668,2937694.18
Ontario Home Care Association,2,184699.8,184699.8,369399.6
Ontario Hospital Association,52,130364.505,160616.59903846154,8352063.15
Ontario Human Rights Commission,17,125411.77,145913.1111764706,2480522.89
Ontario Infrastructure And Lands Corporation (Infrastructure Ontario),594,135243.72499999998,149835.7813804714,89002454.14
Ontario Institute For Cancer Research,109,126477.48,157053.55633027523,17118837.64
Ontario Labour Relations Board,45,133412.66,138446.97,6230113.65
Ontario Land Tribunal,53,116793.72,124483.37792452831,6597619.03
Ontario Land Trust Alliance Inc,1,114902.0,114902.0,114902.0
Ontario Library Service,5,125582.07,130270.428,651352.14
Ontario Lottery And Gaming Corporation,677,124929.99,137072.265760709,92797923.92
Ontario Lung Association,7,147224.23,157756.45428571428,1104295.18
Ontario Media Development Corporation,37,110384.2,116244.74675675675,4301055.63
Ontario Mining Association (Oma),5,128070.0,177972.8,889864.0
Ontario Museum Association,1,107843.0,107843.0,107843.0
Ontario Native Welfare Administrator’s Association,1,124999.94,124999.94,124999.94
Ontario Native Women’s Association,12,128775.945,133986.9125,1607842.95
Ontario Northland Transportation Commission,242,117064.36,128199.93690082645,31024384.73
Ontario One Call,14,165128.375,165341.51142857145,2314781.16
Ontario Online Learning Consortium,12,118534.5,135594.16666666666,1627130.0
Ontario Physical and Health Education Association,4,117106.775,132900.045,531600.18
Ontario Power Generation,10007,158765.29,167980.1388148296,1680977249.12
Ontario Provincial Police,5825,130906.87,135566.91498540773,789677279.79
Ontario Public School Boards Association,7,136855.41,150091.43142857144,1050640.02
Ontario Public Service Pension Board (Ontario Pension Board),122,122541.93,157334.96000000002,19194865.12
Ontario Review Board,9,129482.01,134554.44444444444,1210990.0
Ontario Rugger Union (o/a Rugby Ontario),1,159026.0,159026.0,159026.0
Ontario Sailing Association,1,122200.0,122200.0,122200.0
Ontario Science Centre,55,119847.15,126580.88636363637,6961948.75
Ontario Securities Commission,532,168049.94,184134.04022556392,97959309.4
Ontario Shores Centre For Mental Health Sciences,246,112299.555,130149.30882113821,32016729.97
Ontario Society For Crippled Children (Easter Seals Ont),3,117300.0,129758.15999999999,389274.48
Ontario Soil and Crop Improvement Association,7,132192.95,137691.56714285715,963840.97
Ontario Tech University,405,146280.0,156153.29437037036,63242084.22
Ontario Tennis Association,2,154390.0,154390.0,308780.0
Ontario Tourism Education Corp,3,146832.98,143691.34666666668,431074.04000000004
Ontario Tourism Marketing Partnership Corporation,40,121213.855,123572.673,4942906.92
Ontario Trillium Foundation,32,116770.0,132629.28125,4244137.0
Ontario University Athletics,1,185976.0,185976.0,185976.0
Ontario’s Highlands Tourism Organization,1,119304.0,119304.0,119304.0
Open Doors For Lanark Children and Youth,1,143418.68,143418.68,143418.68
Open Hxouse Inc,1,150000.0,150000.0,150000.0
Operation Springboard,5,118243.21,130638.166,653190.83
Opportunity For Advancement,1,120231.0,120231.0,120231.0
Options Northwest Personal Support Services,4,106842.41500000001,111001.5725,444006.29
Orillia Soldiers Memorial Hospital,329,114733.42,120176.00243161093,39537904.8
Osgoode Care Centre,7,109610.4,116543.32857142857,815803.3
Oshawa Senior Citizens Centre,5,133605.04,149478.13999999998,747390.7
Oshki-pimache-o-win: The Wenjack Education Institute,3,126085.81,127702.51000000001,383107.53
Osteoporosis Canada,4,147587.5,154946.0,619784.0
Ottawa Carleton Lifeskills Inc,4,128331.155,131609.96,526439.84
Ottawa Catholic School Board,2579,128474.67,126698.28788290035,326754884.45
Ottawa Community Housing Corporation,109,120098.08,128992.45339449542,14060177.42
Ottawa Convention Centre Corporation,5,136279.43,181814.48799999998,909072.44
Ottawa Foyers Partage,2,119080.91500000001,119080.91500000001,238161.83000000002
Ottawa Hospital Research Institute,114,131473.475,154875.10359649122,17655761.81
Ottawa Inner City Health Inc,12,118212.26999999999,121441.18916666666,1457294.27
Ottawa Jewish Home For The Aged,8,111036.875,122020.05,976160.4
Ottawa Network For Education,2,159604.5,159604.5,319209.0
Ottawa Rape Crisis Centre,1,102999.98,102999.98,102999.98
Ottawa Salus Corp,5,111949.45,120374.74799999999,601873.74
Ottawa Victim Services,1,101933.92,101933.92,101933.92
Ottawa West Community Support,3,108191.69,119164.21666666667,357492.65
Ottawa Young Men’s and Young Women’s Christian Assoc,7,184883.55,164010.57714285716,1148074.04
Ottawa-Carleton Association For Persons With Developmental Disabilities (OCAPDD),8,116716.0,130367.25,1042938.0
Ottawa-Carleton District School Board,4222,132529.16,128732.05729275224,543506745.89
Owen Sound Transportation Company,19,144999.92,137782.13894736842,2617860.64
Oxford County Community Health Centre,9,127116.58,167198.80333333334,1504789.23
Oxford Elgin St. Thomas Health Unit,19,133772.81,148778.41263157895,2826789.84
PARO Centre For Women’s Enterprise,1,165202.38,165202.38,165202.38
PHSS Support Services,4,141048.8,142465.27000000002,569861.0800000001
PTP-Adult Learning And Employment Programs,3,122867.05,123565.88,370697.64
Pace Independent Living,5,149353.05,150139.43399999998,750697.1699999999
Parent Preschool Resource Centre Of The National Capital Region Inc,1,115000.08,115000.08,115000.08
Parents For Community Living Kitchener Waterloo Inc,2,128742.72,128742.72,257485.44
Parents Partenaires En Education (PPE),1,110212.0,110212.0,110212.0
Parkdale Activity - Recreation Centre,2,118303.825,118303.825,236607.65
Parkdale Queen West Community Health Centre,44,142597.5,152049.50818181818,6690178.36
Parkview Meadows Christian Retirement Village,3,116257.27,123220.80666666669,369662.42000000004
Parkwood Mennonite Home Inc,5,110865.06,116108.78,580543.9
Participation House - Brantford,1,104043.07,104043.07,104043.07
Participation House Toronto,1,126778.55,126778.55,126778.55
Partners Community Health,35,124266.8,142535.81485714283,4988753.52
Partners In Employment (Perth County),1,125845.0,125845.0,125845.0
Pathstone Mental Health,4,119484.4,133325.505,533302.02
Pathways Health Centre For Children,5,114365.82,120627.21,603136.05
Pathways To Education Canada,16,129022.26999999999,155541.56,2488664.96
Pathways To Independence,6,133523.115,138244.2333333333,829465.3999999999
Pay Equity Commission,13,111951.3,137576.0246153846,1788488.32
Pay Equity Hearings Tribunal,1,185982.42,185982.42,185982.42
Payukotayno James and Hudson Bay Family Services,3,146449.8,149204.72,447614.16
Pediatric Oncology Group Of Ontario,12,117433.05,127494.105,1529929.26
Peel Addiction Assessment and Referral Centre (PAARC),2,148251.565,148251.565,296503.13
Peel Career Assessment Services Inc,1,233471.4,233471.4,233471.4
Peel Cheshire Homes (Brampton) Inc.,1,109742.91,109742.91,109742.91
Peel District School Board,9014,132896.23,130738.94328710894,1178480834.79
Peel Region Transition Board,2,133725.0,133725.0,267450.0
Peel Senior Link,2,147434.5,147434.5,294869.0
Pembroke Regional Hospital,147,113738.2,119120.9806122449,17510784.15
Penetanguishene Protestant Separate School Board,25,124899.81,123930.3792,3098259.48
People Advocating For Change Through Empowerment Inc,1,107769.47,107769.47,107769.47
People In Transition (Alliston) Inc,1,102000.0,102000.0,102000.0
Peoplecare Not-for-Profit Homes Inc,2,108821.78,108821.78,217643.56
Perimeter Institute For Theoretical Physics,58,162612.78,197022.95862068963,11427331.6
Perley and Rideau Veterans’ Health Centre,54,120729.005,137066.29444444444,7401579.899999999
Perth And Smiths Falls District Hospital,138,120201.63500000001,125176.59782608696,17274370.5
Peterborough Child And Family Centres,1,115788.54,115788.54,115788.54
Peterborough County-City Health Unit,17,115450.51,132638.51235294118,2254854.71
Peterborough Regional Health Centre,674,113681.825,118760.11142433234,80044315.1
Peterborough Victoria Northumberland And Clarington Catholic District School Board,816,132748.53499999997,130596.74395833335,106566943.07000001
Peterborough Youth Services,1,114955.98,114955.98,114955.98
Phara Community Services,1,128955.25,128955.25,128955.25
Philip Aziz Centre For Hospice Care,4,113722.41500000001,121985.0975,487940.39
Pilot Place Society,1,102620.16,102620.16,102620.16
Pinball Clemons Foundation,3,133250.08,128794.51666666666,386383.55
Pine River Institute,8,134276.20500000002,142850.435,1142803.48
Pinecrest-Queensway Community Health Centre,22,135885.845,143743.55045454545,3162358.11
Planned Parenthood Toronto,8,149513.39,144593.1825,1156745.46
Pleasant Manor Retirement Village,7,109596.65,110834.01714285715,775838.12
Point In Time Centre For Children Youth And Parents,2,125199.5,125199.5,250399.0
Polycultural Immigrant and Community Services,7,126832.0,126492.84999999999,885449.95
Positive Living Niagara,2,105400.73000000001,105400.73000000001,210801.46000000002
PowerON Energy Solutions,30,133412.22999999998,135699.85133333332,4070995.54
Prince Edward County Community Care For Seniors Association,1,117080.57,117080.57,117080.57
Progress Career Planning Institute,1,208063.16,208063.16,208063.16
Progress Place Rehabilitation Centre (Metropolitan Toronto) Inc,1,127399.5,127399.5,127399.5
Project Hostel,2,139207.0,139207.0,278414.0
Prospectors And Developers Association Of Canada Mining Matters,1,115454.0,115454.0,115454.0
Providence Care Centre,290,112980.215,125730.90510344827,36461962.48
Provincial Building and Construction Trades Council Ontario,5,178000.0,174153.056,870765.28
Provincial Sheet Metal Workers Training Corporation,7,124640.0,128192.42857142857,897347.0
Psychiatric Survivors Of Ottawa-Carleton,1,102766.14,102766.14,102766.14
Public Health Sudbury And Districts,31,110890.14,127528.42322580646,3953381.12
Public Services Health and Safety Association,37,114889.84,129818.54945945946,4803286.33
Public and Business Service Delivery,1906,124835.86,125472.45477964323,239150498.81
Punjabi Community Health Services,5,118933.61,127806.374,639031.87
Quantum Valley Ideas Laboratories,19,132144.66,170384.14736842105,3237298.8
Queensway Carleton Hospital,470,115684.11,123275.22776595745,57939357.05
Queen’s University,1476,169746.24,172755.5982113821,254987262.96
Quest Community Health Centre,8,147776.70500000002,180854.16499999998,1446833.3199999998
Quickstart Early Years Partnership Inc,1,105684.0,105684.0,105684.0
Quinte Conservation Authority,8,116031.5,118758.0,950064.0
Quinte Economic Development Commission,1,162691.0,162691.0,162691.0
Quinte Health,540,117407.185,123154.29242592592,66503317.91
Radius Child And Youth Services,1,108364.0,108364.0,108364.0
Rainbow District School Board,904,132657.38,130917.35757743364,118349291.25
Rainy River District School Board,186,132221.29,130959.5673655914,24358479.53
Rainy River District Social Services Admin Board,39,113747.58,120162.77282051281,4686348.14
Raisin Region Conservation Authority,3,103843.3,108563.29666666668,325689.89
Ray Of Hope Inc,2,112510.63,112510.63,225021.26
Reach Out Centre For Kids,14,113368.595,132902.81928571427,1860639.47
Reconnect Community Health Services,10,124765.785,145202.382,1452023.82
Red Lake Margaret Cochenour Memorial Hospital,16,118124.2,119964.344375,1919429.51
Reel Canada,1,199498.0,199498.0,199498.0
Reena,5,135280.97,143627.78,718138.9
Refrigeration Workers Local 787-ORAC Training Fund,7,166900.08,167895.79,1175270.53
Regent Park Community Health Centre,15,137832.61,174793.568,2621903.52
Regina Gardens,2,118267.175,118267.175,236534.35
Region 9 Regional Tourism Organization,1,109821.14,109821.14,109821.14
Regional Geriatric Program of Toronto,4,143866.57,143198.85,572795.4
Regional HIV/AIDS Connection,1,116546.89,116546.89,116546.89
Regional Municipality Of Durham,2465,122522.79,128123.81824340772,315825211.97
Regional Municipality Of Halton,1862,124522.755,129192.93941997852,240557253.2
Regional Municipality Of Niagara,639,114623.59,121739.33557120503,77791435.43
Regional Municipality Of Niagara - Niagara Reg. Police,859,132101.39,137212.8787427241,117865862.84
Regional Municipality Of Peel,2327,122864.03,130241.05563816073,303070936.47
Regional Municipality Of Peel Police Services,2332,137753.095,141131.83110634648,329119430.14
Regional Municipality Of Peel Police Services Board,2,224763.8,224763.8,449527.6
Regional Municipality Of Waterloo,830,113593.76,122140.0613493976,101376250.92
Regional Municipality Of Waterloo - Police,923,131045.01,134518.09917659804,124160205.54
Regional Municipality Of York,2040,117502.07,125796.06730882353,256623977.31
Regional Municipality Of York - York Region Rapid Transit Corporation,29,144020.96,150174.2027586207,4355051.88
Regional Municipality Of York Police Services,1887,126279.93,129789.43108108107,244912656.45
Regional Tourism Organization 12 Parry Sound/Muskoka,2,134202.5,134202.5,268405.0
Regional Tourism Organization 7,3,112249.8,133399.14,400197.42000000004
Regional Tourism Organization Four Inc,1,119569.2,119569.2,119569.2
Registered Nurses Association Of Ontario,22,115427.19,152196.765,3348328.83
Registered Practical Nurses Association Of Ontario,5,192467.32,188588.412,942942.06
Religious Hospitallers Of St Joseph Of The Hotel Dieu Of St Catharines,80,111935.58499999999,120188.42150000001,9615073.72
"Religious Hospitallers Of St. Joseph Of Cornwall, Ontario",15,119779.0,128850.4,1932756.0
Renfrew County And District Health Unit,25,106284.1,122640.634,3066015.85
Renfrew County Catholic District School Board,299,132657.18,130754.86956521739,39095706.0
Renfrew County District School Board,549,132533.67,130114.67996357012,71432959.3
Renfrew County Youth Services,4,129655.06,129069.45749999999,516277.82999999996
Renfrew Victoria Hospital,79,118417.77,122832.83278481013,9703793.790000001
Resolve Counselling Services Canada,1,116037.47,116037.47,116037.47
Resources For Exceptional Children And Youth -Durham Region,8,135378.875,155238.74125,1241909.93
Responsible Gambling Council (Ontario),8,129734.525,143561.4275,1148491.42
Restaurants Canada,12,158837.55,165023.73083333333,1980284.77
Rexdale Community Health Centre,15,126346.2,163993.8,2459907.0
Rexdale Women’s Centre,1,103299.45,103299.45,103299.45
Richview Community Care Services Corporation,1,121171.5,121171.5,121171.5
Rideau Community Health Services,15,132627.0,160613.6,2409204.0
Rideauwood Addiction and Family Services,1,110946.83,110946.83,110946.83
Right To Play International,21,128613.94,157825.83714285714,3314342.58
Ritz Lutheran Villa,13,120069.17,122877.9023076923,1597412.73
Riverside Health Care Facilities Inc.,84,120034.555,127707.59214285715,10727437.74
Roberts / Smart Centre,3,133331.84,128187.38333333335,384562.15
Roots Community Services Inc,1,126000.0,126000.0,126000.0
Roots Of Empathy,4,125000.0,130404.845,521619.38
Rosalie Hall,1,130179.71,130179.71,130179.71
Ross Memorial Hospital,184,117796.61,122628.84809782609,22563708.05
Row Ontario,2,112422.07500000001,112422.07500000001,224844.15000000002
Royal Botanical Gardens,9,115234.34,143749.9011111111,1293749.1099999999
Royal Canadian Legion District “D” Care Centres,2,111772.5,111772.5,223545.0
Royal Ontario Museum,75,125475.34,148263.95986666667,11119796.99
Royal Ottawa Health Care Group,501,114935.21,123271.10538922156,61758823.8
Royal Victoria Regional Health Centre,855,116086.26,125195.56798830409,107042210.63
Runnymede Healthcare Centre,58,127819.0,142600.8448275862,8270849.0
Rural Healthcare Innovations,4,120266.405,118748.425,474993.7
Rural Ontario Institute,2,114010.05,114010.05,228020.1
Rygiel Supports For Community Living,1,141231.0,141231.0,141231.0
Safeguards Training For Children And Adult Services,1,103806.42,103806.42,103806.42
Safehaven Project For Community Living,10,122459.45,139986.084,1399860.84
Sagamok Anishnawbek First Nation,8,107529.28,113984.16375,911873.31
Saint Luke’s Place,12,110585.5,116729.16666666667,1400750.0
Saint Paul University,64,119768.98,125496.5334375,8031778.14
Sandbox Centre For Shared Entrepreneurship & Innovation (O/A Sandbox Centre),1,100000.0,100000.0,100000.0
Sandgate Women’s Shelter of York Region Inc.,1,155737.0,155737.0,155737.0
Sandy Hill Community Health Centre,20,141313.88,167407.1575,3348143.15
Santé Manitouwadge Health,18,119889.5,120518.77777777778,2169338.0
Sarnia Lambton Economic Partnership Association,1,168434.76,168434.76,168434.76
"Sarnia-Lambton ""Rebound"" - A Program For Youth",1,101743.2,101743.2,101743.2
Sarnia-Lambton Children’s Aid Society,17,114027.27,123949.14882352942,2107135.5300000003
Sault Area Hospital,473,113742.99,120213.67568710359,56861068.6
Sault College Of Applied Arts and Technology,144,124565.735,127801.01173611112,18403345.69
Sault Community Information And Career Centre,1,105357.0,105357.0,105357.0
Sault Ste Marie Police Services,142,126735.875,132866.1566197183,18866994.24
Sault Ste. Marie and District Group Health Association,18,130584.845,141774.60888888888,2551942.96
Scadding Court Community Centre,2,114905.405,114905.405,229810.81
Scarborough Centre For Healthy Communities,24,149994.01,156807.34458333332,3763376.27
Scarborough Health Network,1890,118660.385,124457.95448677248,235225533.98
Schlegel-UW Research Institute For Aging Foundation,6,140506.39500000002,141450.45166666666,848702.71
Science North,9,120405.06,130266.54222222224,1172398.8800000001
Seaway Valley Community Health Centre Inc,12,121239.51000000001,138208.8425,1658506.11
Sedna Women’s Shelter and Support Services Inc,1,133643.98,133643.98,133643.98
Seneca College Of Applied Arts and Technology,1034,126110.11499999999,128057.54284332688,132411499.3
Senior Persons Living Connected,5,122510.04,118916.726,594583.63
Seniors and Accessibility,90,125364.66,124926.98355555555,11243428.52
Sensenbrenner Hospital,49,113561.98,121107.90857142858,5934287.5200000005
Service Coordination For Persons With Special Needs,6,120029.445,130884.69166666667,785308.15
Services And Housing In The Province (SHIP),10,124304.295,127346.39499999999,1273463.95
Services Communautaires De Prescott-Russell,1,100652.0,100652.0,100652.0
Services De Santé De Chapleau Health Services,19,117195.01,117765.94789473683,2237553.01
Seven Generations Education Institute,13,122747.48,125506.77384615385,1631588.06
Sexual Assault Centre Kingston Inc,1,100843.65,100843.65,100843.65
Sexual Assault Crisis Centre Of Essex County Inc,1,110000.0,110000.0,110000.0
Sexual Assault Support Centre Of Ottawa,1,104384.34,104384.34,104384.34
Sexual Assault Support Centre Of Waterloo Region,1,112312.78,112312.78,112312.78
Shalom Manor Long Term Care Home,10,115193.035,120878.192,1208781.92
Shalom Village Nursing Home,11,131451.35,133406.66636363638,1467473.33
Sheet Metal Workers’ International Association Local 285 Training Centre,4,140786.27,155547.0525,622188.21
Shepherd Village Inc,18,123353.76000000001,145782.9611111111,2624093.3
Shepherds Of Good Hope,4,126189.82500000001,132815.33000000002,531261.3200000001
Sherbourne Health Centre,20,128765.17499999999,132893.489,2657869.78
Sheridan College Institute Of Technology and Advanced Learning,856,125471.97,125917.67995327104,107785534.04
Sherwood Park Manor,6,127309.45999999999,122704.67333333334,736228.04
Sheshegwaning First Nation,2,107780.8,107780.8,215561.6
Shingwauk Teaching Lodge,1,101538.48,101538.48,101538.48
